ticker,buyprice,buydate,duration,score,sellprice,selldate
['AMZN', 346.20001200000002, '2014-07-11', 6, 3.7793888561063476, 359.76001000000002, '2014-07-21', 0.03912477622906612]
['AMZN', 355.32000699999998, '2014-07-14', 6, 17.023527996528298, 360.83999599999999, '2014-07-22', 0.015493045400058237]
['PRGO', 153.006046, '2014-07-15', 6, 5.3511315913116846, 156.835183, '2014-07-23', 0.024928014936089538]
['PCP', 257.583055, '2014-07-16', 6, 3.7807070681408828, 236.08449100000001, '2014-07-24', -0.083520882225734866]
['HCA', 60.610000999999997, '2014-07-17', 6, 3.7043286685473005, 62.900002000000001, '2014-07-25', 0.037535076100724755]
['ICE', 188.89511899999999, '2014-07-17', 6, 3.2894033349301779, 194.34800999999999, '2014-07-25', 0.028787885196758282]
['SNA', 121.859407, '2014-07-18', 6, 4.4257098862210364, 122.549387, '2014-07-28', 0.0055390061105417276]
['SHW', 209.63610399999999, '2014-07-18', 6, 3.4135643567904657, 210.10047, '2014-07-28', 0.0021435525247121196]
['SWKS', 53.700961, '2014-07-21', 6, 4.7937598554974796, 51.621828999999998, '2014-07-29', -0.038996173643894405]
['GOOGL', 598.44000200000005, '2014-07-21', 6, 3.0390264502603941, 593.95001200000002, '2014-07-29', -0.0075278891533725276]
['SHW', 210.031317, '2014-07-21', 6, 9.018982938401745, 208.213381, '2014-07-29', -0.0087269652268094997]
['TMO', 121.56498000000001, '2014-07-21', 6, 3.3662056825963149, 122.95838999999999, '2014-07-29', 0.011338874073766875]
['CMG', 659.77002000000005, '2014-07-22', 6, 9.3688666993758147, 681.830017, '2014-07-30', 0.033413153571300425]
['ALXN', 167.970001, '2014-07-22', 6, 3.4242002266538543, 163.679993, '2014-07-30', -0.025629624185094815]
['ENDP', 70.269997000000004, '2014-07-23', 6, 3.1789198603066562, 67.080001999999993, '2014-07-31', -0.045609721599959796]
['CMG', 661.27002000000005, '2014-07-23', 6, 41.465719785269826, 672.5, '2014-07-31', 0.016959758738192839]
['ALXN', 173.08000200000001, '2014-07-23', 6, 11.662240801012766, 158.990005, '2014-07-31', -0.081494088496717326]
['ISRG', 461.63000499999998, '2014-07-23', 6, 30.768534076127821, 457.54998799999998, '2014-07-31', -0.0088707773663889069]
['PCLN', 1236.7299800000001, '2014-07-24', 6, 6.7915766869179315, 1245.900024, '2014-08-01', 0.0074026215488040168]
['RHI', 50.474479000000002, '2014-07-24', 6, 3.0675350079495152, 48.017842999999999, '2014-08-01', -0.048968033924629575]
['APD', 132.22313700000001, '2014-07-24', 6, 3.5309118091864526, 130.22745599999999, '2014-08-01', -0.015206725884895765]
['BIIB', 336.790009, '2014-07-24', 6, 10.156067365341523, 329.82998700000002, '2014-08-01', -0.020710299633621199]
['XEC', 147.761189, '2014-07-24', 6, 3.9415687723239685, 136.17032499999999, '2014-08-01', -0.078544738835310879]
['UA', 69.550003000000004, '2014-07-24', 6, 4.3124126479711702, 67.440002000000007, '2014-08-01', -0.030553571651175872]
['ISRG', 473.32998700000002, '2014-07-24', 6, 90.63677484149477, 453.17001299999998, '2014-08-01', -0.042623485843080622]
