ticker,buyprice,buydate,duration,score,sellprice,selldate
['AMZN', 346.20001200000002, '2014-07-11', 10, 3.7793888561063476, 324.01001000000002, '2014-07-25', -0.064139229434804268]
['AMZN', 355.32000699999998, '2014-07-14', 10, 17.023527996528298, 324.01001000000002, '2014-07-25', -0.088159958299223934]
['PRGO', 153.006046, '2014-07-15', 10, 5.3511315913116846, 151.43051299999999, '2014-07-17', -0.01039522974144438]
['PCP', 257.583055, '2014-07-16', 10, 3.7807070681408828, 254.57465999999999, '2014-07-17', -0.011737553931876487]
['HCA', 60.610000999999997, '2014-07-17', 10, 3.7043286685473005, 65.069999999999993, '2014-07-29', 0.073337715338430642]
['ICE', 188.89511899999999, '2014-07-17', 10, 3.2894033349301779, 193.577494, '2014-07-24', 0.024708817383470919]
['SNA', 121.859407, '2014-07-18', 10, 4.4257098862210364, 121.169436, '2014-07-21', -0.0057851175986766441]
['SHW', 209.63610399999999, '2014-07-18', 10, 3.4135643567904657, 210.219042, '2014-07-25', 0.0027091612044078668]
['SWKS', 53.700961, '2014-07-21', 10, 4.7937598554974796, 52.918810999999998, '2014-07-23', -0.014844240869358026]
['GOOGL', 598.44000200000005, '2014-07-21', 10, 3.0390264502603941, 598.080017, '2014-07-25', -0.00062660416875015567]
['SHW', 210.031317, '2014-07-21', 10, 9.018982938401745, 210.219042, '2014-07-25', 0.00082237736003912384]
['TMO', 121.56498000000001, '2014-07-21', 10, 3.3662056825963149, 123.794432, '2014-07-28', 0.018216200093151783]
['CMG', 659.77002000000005, '2014-07-22', 10, 9.3688666993758147, 674.71002199999998, '2014-08-05', 0.022621521966093478]
['ALXN', 167.970001, '2014-07-22', 10, 3.4242002266538543, 167.03999300000001, '2014-07-25', -0.0056260522377444451]
['ENDP', 70.269997000000004, '2014-07-23', 10, 3.1789198603066562, 69.339995999999999, '2014-07-24', -0.013448143451607152]
['CMG', 661.27002000000005, '2014-07-23', 10, 41.465719785269826, 673.0, '2014-08-06', 0.017715879513182761]
['ALXN', 173.08000200000001, '2014-07-23', 10, 11.662240801012766, 167.479996, '2014-07-24', -0.032441679773033555]
['ISRG', 461.63000499999998, '2014-07-23', 10, 30.768534076127821, 465.290009, '2014-07-28', 0.0078959425525210718]
['PCLN', 1236.7299800000001, '2014-07-24', 10, 6.7915766869179315, 1227.780029, '2014-07-25', -0.007248915401889146]
['RHI', 50.474479000000002, '2014-07-24', 10, 3.0675350079495152, 49.902253000000002, '2014-07-25', -0.011634117114908716]
