ticker,buyprice,buydate,duration,score,sellprice,selldate
['SBUX', 50.560001, '2015-05-14', 6, 31.70075250364151, 51.479999999999997, '2015-05-22']
['V', 69.569999999999993, '2015-05-15', 6, 55.54262749640651, 68.540001000000004, '2015-05-26']
['SBUX', 50.799999, '2015-05-15', 6, 31.956515257533887, 50.840000000000003, '2015-05-26']
['PLL', 123.699997, '2015-05-15', 6, 25.867957626359019, 124.80999799999999, '2015-05-26']
['V', 70.0, '2015-05-18', 6, 52.033749898575209, 69.489998, '2015-05-27']
['SBUX', 51.18, '2015-05-18', 6, 31.937797611695697, 51.590000000000003, '2015-05-27']
['PLL', 123.900002, '2015-05-18', 6, 25.171783665632958, 124.629997, '2015-05-27']
['V', 70.160004000000001, '2015-05-19', 6, 48.723440564110398, 69.559997999999993, '2015-05-28']
['SBUX', 51.419998, '2015-05-19', 6, 31.63388137627674, 51.810001, '2015-05-28']
['V', 69.779999000000004, '2015-05-20', 6, 45.322801762775534, 68.680000000000007, '2015-05-29']
['SBUX', 51.029998999999997, '2015-05-20', 6, 30.632085619988697, 51.959999000000003, '2015-05-29']
['V', 69.370002999999997, '2015-05-21', 6, 41.676741132075527, 69.110000999999997, '2015-06-01']
['SBUX', 51.330002, '2015-05-21', 6, 29.3923729546065, 52.220001000000003, '2015-06-01']
['V', 69.620002999999997, '2015-05-22', 6, 38.20066177959017, 69.040001000000004, '2015-06-02']
['SBUX', 51.479999999999997, '2015-05-22', 6, 28.161579965949127, 51.729999999999997, '2015-06-02']
['V', 68.540001000000004, '2015-05-26', 6, 34.639175625888555, 68.949996999999996, '2015-06-03']
['SBUX', 50.840000000000003, '2015-05-26', 6, 26.305087388020358, 52.119999, '2015-06-03']
['V', 69.489998, '2015-05-27', 6, 31.575770961928061, 68.209998999999996, '2015-06-04']
['V', 69.559997999999993, '2015-05-28', 6, 29.162781979104121, 68.370002999999997, '2015-06-05']
['V', 68.680000000000007, '2015-05-29', 6, 26.431879432971069, 67.680000000000007, '2015-06-08']
