ticker,buyprice,buydate,duration,score,sellprice,selldate
['^DJI', 10437.849609000001, '2004-04-19', 5, 1, 10444.730469, '2004-04-26', 0.00065922199090378761]
['^DJI', 10334.730469, '2004-06-14', 5, 1, 10371.469727, '2004-06-21', 0.0035549314140511435]
['^DJI', 10094.059569999999, '2004-07-19', 5, 1, 9961.9199219999991, '2004-07-26', -0.013090832987822392]
['^DJI', 9961.9199219999991, '2004-07-26', 5, 1, 10179.160156, '2004-08-02', 0.021807064873132075]
['^DJI', 10179.160156, '2004-08-02', 5, 1, 9814.6601559999999, '2004-08-09', -0.035808455158763693]
['^DJI', 9814.6601559999999, '2004-08-09', 5, 1, 9954.5498050000006, '2004-08-16', 0.014253132230409613]
['^DJI', 10073.049805000001, '2004-08-23', 5, 1, 10122.519531, '2004-08-30', 0.0049110971312227468]
['^DJI', 10204.889648, '2004-09-20', 5, 1, 9988.5400389999995, '2004-09-27', -0.021200582903157794]
['^DJI', 9988.5400389999995, '2004-09-27', 5, 1, 10216.540039, '2004-10-04', 0.022826158688835387]
['^DJI', 10216.540039, '2004-10-04', 5, 1, 10081.969727, '2004-10-11', -0.013171808800856189]
['^DJI', 10081.969727, '2004-10-11', 5, 1, 9956.3203119999998, '2004-10-18', -0.012462784396535599]
['^DJI', 9956.3203119999998, '2004-10-18', 5, 1, 9749.9902340000008, '2004-10-25', -0.020723527521640372]
['^DJI', 9749.9902340000008, '2004-10-25', 5, 1, 10054.389648, '2004-11-01', 0.031220483989666269]
['^DJI', 10054.389648, '2004-11-01', 5, 1, 10391.309569999999, '2004-11-08', 0.033509733936661047]
['^DJI', 10391.309569999999, '2004-11-08', 5, 1, 10550.240234000001, '2004-11-15', 0.015294575041709719]
['^DJI', 10550.240234000001, '2004-11-15', 5, 1, 10489.419921999999, '2004-11-22', -0.0057648272125593427]
['^DJI', 10489.419921999999, '2004-11-22', 5, 1, 10428.019531, '2004-11-30', -0.0058535544821902898]
['^DJI', 10621.030273, '2005-01-10', 5, 1, 10628.790039, '2005-01-18', 0.00073060388686825627]
