ticker,buyprice,buydate,duration,score,sellprice,selldate
['FLS', 28.799543, '2008-03-17', 5, -1, 33.124447000000004, '2008-03-25', 0.14965181912782449]
['ETN', 31.712325, '2008-03-17', 5, -1, 33.005569999999999, '2008-03-25', 0.040307514507372098]
['AME', 17.544174999999999, '2008-03-17', 5, -1, 18.685782, '2008-03-25', 0.064215444727381055]
['AMG', 80.970000999999996, '2008-03-17', 5, -1, 96.730002999999996, '2008-03-25', 0.19445475862103548]
['DOW', 27.950568000000001, '2008-03-17', 5, -1, 29.055699000000001, '2008-03-25', 0.039002105431274248]
['AMP', 41.821100000000001, '2008-03-17', 5, -1, 46.668934, '2008-03-25', 0.11555970550750695]
['CTXS', 31.0, '2008-03-17', 5, -1, 32.619999, '2008-03-25', 0.051774161290322585]
['BMY', 14.918685, '2008-03-17', 5, -1, 15.749931999999999, '2008-03-25', 0.054713066198528851]
['AMT', 35.586019, '2008-03-17', 5, -1, 37.738169999999997, '2008-03-25', 0.060055916903770448]
['AFL', 50.658915, '2008-03-17', 5, -1, 53.103380999999999, '2008-03-25', 0.047957323997168087]
['DISCA', 10.332140000000001, '2008-03-17', 5, -1, 11.165050000000001, '2008-03-25', 0.079161722547313532]
['C', 177.02643, '2008-03-17', 5, -1, 222.66160099999999, '2008-03-25', 0.25770259841990817]
['FTR', 4.9649270000000003, '2008-03-17', 5, -1, 5.2100489999999997, '2008-03-25', 0.046349523366607276]
['FLR', 58.095694999999999, '2008-03-17', 5, -1, 65.325402999999994, '2008-03-25', 0.12418662002408261]
['ED', 28.930052, '2008-03-17', 5, -1, 28.547059999999998, '2008-03-25', -0.01375704405923645]
['EA', 45.860000999999997, '2008-03-17', 5, -1, 50.18, '2008-03-25', 0.093872632056855018]
['FFIV', 19.57, '2008-03-17', 5, -1, 20.620000999999998, '2008-03-25', 0.052887123147674922]
['CSC', 36.008187, '2008-03-17', 5, -1, 37.571010999999999, '2008-03-25', 0.042985335529389448]
['BLL', 19.970023000000001, '2008-03-17', 5, -1, 21.730982999999998, '2008-03-25', 0.08742904302113208]
['CSX', 14.535375999999999, '2008-03-17', 5, -1, 16.269082000000001, '2008-03-25', 0.11824296805256373]
['BLK', 146.69277199999999, '2008-03-17', 5, -1, 187.74025800000001, '2008-03-25', 0.27971716288788939]
['FTI', 26.253001999999999, '2008-03-17', 5, -1, 26.528300000000002, '2008-03-25', 0.009914980389671358]
['EW', 22.084999, '2008-03-17', 5, -1, 22.760000000000002, '2008-03-25', 0.029884583648837917]
['ETFC', 32.900002000000001, '2008-03-17', 5, -1, 42.000000999999997, '2008-03-25', 0.27613977044743027]
