ticker,buyprice,buydate,duration,score,sellprice,selldate
['GS', 109.455842, '2012-09-06', 6, 5.955374459379982, 116.994547, '2012-09-14', 0.068737354375292214]
['BIIB', 152.5, '2012-09-07', 6, 7.1202829655688946, 154.41000399999999, '2012-09-17', 0.01242625573770483]
['MLM', 80.962311, '2012-09-10', 6, 6.8340598087197995, 84.184258999999997, '2012-09-18', 0.039610381180942296]
['IBM', 189.457066, '2012-09-11', 6, 5.3691628266351534, 192.402322, '2012-09-19', 0.015466596532219075]
['GMCR', 31.597404999999998, '2012-09-11', 6, 6.6911537268743926, 30.271021000000001, '2012-09-19', -0.042452346956973121]
['FFIV', 104.459999, '2012-09-17', 6, 6.5960292855326159, 107.05999799999999, '2012-09-25', 0.024746305042564636]
['ISRG', 510.30999800000001, '2012-09-17', 6, 15.877556090662925, 511.47000100000002, '2012-09-25', 0.0022437400883531535]
['GOOGL', 364.11410999999998, '2012-09-19', 6, 5.8525755600414158, 378.62863599999997, '2012-09-27', 0.039821379072620913]
['ISRG', 516.48999000000003, '2012-10-04', 6, 9.0857311304127268, 494.57998700000002, '2012-10-12', -0.042450005662258851]
['BLK', 176.182211, '2012-10-08', 6, 7.0603467528633921, 177.37736100000001, '2012-10-16', 0.0066984628771630779]
['ISRG', 533.13000499999998, '2012-10-16', 6, 13.393800533491731, 543.01000999999997, '2012-10-24', 0.018503938828203795]
['ISRG', 532.40997300000004, '2012-10-17', 6, 35.81023355450688, 545.63000499999998, '2012-10-25', 0.024802375367975957]
['URI', 39.939999, '2012-10-18', 6, 8.3569152138632621, 38.720001000000003, '2012-10-26', -0.030921332772191525]
['REGN', 160.720001, '2012-10-18', 6, 5.2604912112805238, 149.25, '2012-10-26', -0.071459687210927769]
['WHR', 90.523734000000005, '2012-10-24', 6, 7.4754191283778226, 93.299142000000003, '2012-11-05', 0.030493748744390047]
['VAR', 66.760002, '2012-10-31', 6, 9.3649771951223855, 68.589995999999999, '2012-11-08', 0.027186847597757701]
['PCP', 172.813557, '2012-10-31', 6, 6.6011578317033042, 169.95779400000001, '2012-11-08', -0.016611908520579761]
['PVH', 114.351044, '2012-11-01', 6, 15.98388163303221, 108.50145000000001, '2012-11-09', -0.051285880695588537]
['EXPE', 58.279449999999997, '2012-11-01', 6, 6.7887419129898019, 56.384979000000001, '2012-11-09', -0.032764053195423012]
['AAP', 80.503476000000006, '2012-11-01', 6, 9.3925591668726227, 77.929356999999996, '2012-11-09', -0.032161580203071111]
['PCLN', 634.73999000000003, '2012-11-02', 6, 29.517491216345874, 633.42999299999997, '2012-11-12', -0.0020874641914401305]
['ROK', 70.762956000000003, '2012-11-02', 6, 6.2530740427694127, 73.031672999999998, '2012-11-12', 0.031848824969946066]
['AMG', 127.80999799999999, '2012-11-02', 6, 6.2154051905676466, 125.739998, '2012-11-12', -0.016313277776594547]
['FOSL', 93.099997999999999, '2012-11-02', 6, 6.6703064530474814, 79.660004000000001, '2012-11-12', -0.14452195799187878]
['AZO', 382.91000400000001, '2012-11-02', 6, 10.92918225070351, 374.38000499999998, '2012-11-12', -0.022315946072801046]
['CMG', 265.20001200000002, '2012-11-05', 6, 14.97246412708941, 262.13000499999998, '2012-11-13', -0.011632755883887487]
['PCLN', 634.78997800000002, '2012-11-05', 6, 79.833728134803479, 630.30999799999995, '2012-11-13', -0.0070810506715341818]
['TRIP', 34.450001, '2012-11-05', 6, 6.1843090901560709, 35.540000999999997, '2012-11-13', 0.031204643506396311]
['CSC', 34.312111000000002, '2012-11-07', 6, 6.5554052197419814, 32.999051000000001, '2012-11-15', -0.038705283973929784]
['SHW', 145.25424100000001, '2012-11-14', 6, 8.1544558617831768, 154.075784, '2012-11-23', 0.060628474179972414]
['REGN', 157.69000199999999, '2012-11-16', 6, 5.0312298469339485, 174.699997, '2012-11-27', 0.10777471484844045]
['BIIB', 143.529999, '2012-11-19', 6, 7.0656518338934298, 149.46000699999999, '2012-11-28', 0.041210952701253668]
['REGN', 160.44000199999999, '2012-11-19', 6, 16.329250473710793, 174.91000399999999, '2012-11-28', 0.090095997381002241]
['AMZN', 233.779999, '2012-11-20', 6, 6.979214037662409, 251.270004, '2012-11-29', 0.074749786443450178]
['EQIX', 175.20518000000001, '2012-11-20', 6, 11.639667692433186, 176.35385500000001, '2012-11-29', 0.0064705564070651174]
['GOOGL', 333.26828399999999, '2012-11-21', 6, 9.8906055680525213, 349.53451999999999, '2012-11-30', 0.048763224045646036]
['ISRG', 537.95001200000002, '2012-12-13', 6, 9.9337275566632659, 496.790009, '2012-12-21', -0.07654057455435101]
['MHK', 91.290001000000004, '2012-12-21', 6, 6.7053373700926349, 93.169998000000007, '2013-01-02', 0.020429367724511285]
['PCLN', 648.72997999999995, '2013-01-03', 6, 12.153139728299681, 655.48999000000003, '2013-01-11', 0.010397253415049632]
['CAT', 87.822987999999995, '2013-01-03', 6, 5.0819174311544995, 88.557947999999996, '2013-01-11', 0.0081978536189181005]
['ALXN', 98.480002999999996, '2013-01-03', 6, 7.1544698048336022, 100.389999, '2013-01-11', 0.019242444580348021]
['BCR', 99.685085000000001, '2013-01-03', 6, 5.7725529766157404, 101.335858, '2013-01-11', 0.016409405679896856]
['PXD', 111.184907, '2013-01-03', 6, 5.0256005729093314, 111.714263, '2013-01-11', 0.0046261314946281964]
['PCLN', 648.40997300000004, '2013-01-04', 6, 33.578891960823896, 662.919983, '2013-01-14', 0.022354699346982383]
['RL', 154.99397200000001, '2013-01-04', 6, 11.096785894548557, 161.752286, '2013-01-14', 0.043506943611974692]
['RIG', 46.098464999999997, '2013-01-04', 6, 5.8260388283110291, 47.975496999999997, '2013-01-14', 0.040392494630786514]
['PVH', 116.672952, '2013-01-07', 6, 6.122736569000355, 119.07539, '2013-01-15', 0.020462651874960734]
['AMZN', 266.38000499999998, '2013-01-08', 6, 11.854072301761711, 268.92999300000002, '2013-01-16', 0.0095164349891803685]
['ISRG', 504.42999300000002, '2013-01-08', 6, 5.725848699127738, 498.5, '2013-01-16', -0.011785566049796773]
['ISRG', 506.73001099999999, '2013-01-09', 6, 16.65435861176762, 514.20001200000002, '2013-01-17', 0.014711978446447343]
['KSU', 90.186274999999995, '2013-01-23', 6, 5.0053060758343388, 90.8596, '2013-01-31', 0.0072996140488118125]
['FFIV', 105.43000000000001, '2013-01-25', 6, 7.0870505605677625, 105.699997, '2013-02-04', 0.0024186379588351454]
['GOOGL', 377.21222399999999, '2013-01-25', 6, 6.5274418914044965, 379.88989700000002, '2013-02-04', 0.0070588194936122405]
['AMZN', 283.98998999999998, '2013-01-25', 6, 5.9317032324929784, 259.98001099999999, '2013-02-04', -0.084597978259726647]
['NFLX', 24.222857000000001, '2013-01-25', 6, 9.7946268959412492, 24.962855999999999, '2013-02-04', 0.029930367008317697]
['CMG', 310.01001000000002, '2013-01-29', 6, 11.826750316696131, 322.459991, '2013-02-06', 0.040111546720700983]
['MJN', 71.945950999999994, '2013-02-01', 6, 8.3217431694973332, 74.131649999999993, '2013-02-11', 0.030171246190073987]
['RL', 172.662836, '2013-02-08', 6, 9.4214787509432583, 172.157173, '2013-02-19', -0.0030154896795509512]
['KORS', 61.349997999999999, '2013-02-13', 6, 5.7271132403462239, 59.110000999999997, '2013-02-22', -0.036756268516911814]
['GWW', 216.901568, '2013-02-14', 6, 5.5206826599593057, 212.29113000000001, '2013-02-25', -0.021325055612322671]
['STZ', 43.166054000000003, '2013-02-15', 6, 10.710364081313479, 44.479241000000002, '2013-02-26', 0.030074256961268669]
['REGN', 171.729996, '2013-03-01', 6, 8.6384220496813455, 171.75, '2013-03-11', 2.9138765018081833e-05]
['PCLN', 718.40997300000004, '2013-03-05', 6, 7.4502120743682241, 715.53002900000001, '2013-03-13', -0.0040296545270816046]
['GOOGL', 419.71973200000002, '2013-03-05', 6, 9.0366835797532303, 413.06808999999998, '2013-03-13', -0.015883556315622629]
['AMZN', 275.58999599999999, '2013-03-05', 6, 10.260284817873938, 275.10000600000001, '2013-03-13', -0.0018323959771020771]
['ALXN', 91.010002, '2013-03-05', 6, 6.66191747431116, 91.510002, '2013-03-13', 0.0053290845988554093]
['CMG', 329.0, '2013-03-06', 6, 9.777006593956024, 322.66000400000001, '2013-03-14', -0.019316097264437643]
['PCLN', 718.90002400000003, '2013-03-06', 6, 20.992068570750625, 713.15002400000003, '2013-03-14', -0.0080191957261640037]
['XEC', 71.081754000000004, '2013-03-12', 6, 5.0307236664583872, 73.920289999999994, '2013-03-20', 0.039722373761345145]
['JBHT', 72.739593999999997, '2013-03-14', 6, 5.2319434265103268, 72.476005000000001, '2013-03-22', -0.003829949889464548]
['NKE', 57.943496000000003, '2013-03-25', 6, 5.0299222512396877, 57.311135999999998, '2013-04-03', -0.011172263406405536]
['BIIB', 192.61999499999999, '2013-03-28', 6, 5.6162408170491958, 194.13000500000001, '2013-04-08', 0.0077614476108776908]
['ISRG', 491.19000199999999, '2013-03-28', 6, 11.318672614741359, 494.0, '2013-04-08', 0.0056902583289958888]
['BIIB', 192.770004, '2013-04-01', 6, 14.61881809826918, 193.16999799999999, '2013-04-09', 0.0019971675676263016]
['CMG', 337.5, '2013-04-08', 6, 9.5101924074907789, 342.17001299999998, '2013-04-16', 0.013792631111111063]
['FSLR', 39.349997999999999, '2013-04-09', 6, 6.8680245563370885, 37.330002, '2013-04-17', -0.051715275817803073]
['PCLN', 718.94000200000005, '2013-04-10', 6, 7.7840544684976942, 690.01000999999997, '2013-04-18', -0.040260650289980777]
['CMI', 113.021764, '2013-04-11', 6, 5.7413957397541893, 102.387119, '2013-04-19', -0.094226497827445035]
['PCLN', 733.98999000000003, '2013-04-11', 6, 30.408067389423106, 683.57000700000003, '2013-04-19', -0.068713447985850593]
['AMZN', 269.85000600000001, '2013-04-11', 6, 9.6017402178026519, 260.32000699999998, '2013-04-19', -0.035371498194445225]
['FOSL', 98.730002999999996, '2013-04-11', 6, 6.1078748975263224, 94.290001000000004, '2013-04-19', -0.045123081784976676]
['PVH', 109.421786, '2013-04-12', 6, 6.0248820146408519, 106.131052, '2013-04-22', -0.030210930755599261]
['VRTX', 85.599997999999999, '2013-04-19', 6, 14.043757491413297, 78.330001999999993, '2013-04-29', -0.085105095446380799]
['VRTX', 82.330001999999993, '2013-04-22', 6, 35.743721702047431, 76.819999999999993, '2013-04-30', -0.067108002742426759]
['ADS', 164.96000699999999, '2013-04-22', 6, 5.5169631701678341, 171.770004, '2013-04-30', 0.041191784139533956]
['GOOGL', 404.35434500000002, '2013-04-23', 6, 7.8719406639203431, 410.62564600000002, '2013-05-01', 0.015472322920135789]
['BIIB', 212.759995, '2013-04-23', 6, 9.3584377524545914, 214.33000200000001, '2013-05-01', 0.0073087377164114146]
['AMZN', 268.77999899999998, '2013-04-24', 6, 5.6110105840145161, 252.550003, '2013-05-02', -0.060439750206264319]
['NFLX', 30.959999, '2013-04-24', 6, 8.3931556367441793, 30.641428000000001, '2013-05-02', -0.010774257453948839]
['COH', 52.489257000000002, '2013-04-24', 6, 5.2193177305149909, 54.261284000000003, '2013-05-02', 0.033474030695462148]
['ORLY', 106.44000200000001, '2013-04-26', 6, 5.0392873528691409, 110.269997, '2013-05-06', 0.035841741152917266]
['BLK', 249.91101, '2013-04-26', 6, 6.3318335882911718, 259.93513200000001, '2013-05-06', 0.040050744462999069]
['EQT', 73.597498000000002, '2013-04-26', 6, 5.8125175603830792, 75.391346999999996, '2013-05-06', 0.024169965669213301]
