ticker,buyprice,buydate,duration,score,sellprice,selldate
['AMZN', 355.32000699999998, '2014-07-14', 7, 17.023527996528298, 358.14001500000001, '2014-07-23', 0.0078943148281544126]
['PRGO', 153.006046, '2014-07-15', 7, 5.3511315913116846, 156.62578500000001, '2014-07-24', 0.023559454637498506]
['SNA', 121.859407, '2014-07-18', 7, 4.4257098862210364, 121.839697, '2014-07-29', -0.00028483644270485781]
['SWKS', 53.700961, '2014-07-21', 7, 4.7937598554974796, 51.651530000000001, '2014-07-30', -0.038443092294009384]
['SHW', 210.031317, '2014-07-21', 7, 9.018982938401745, 207.640333, '2014-07-30', -0.011455358345441424]
['CMG', 659.77002000000005, '2014-07-22', 7, 9.3688666993758147, 672.5, '2014-07-31', 0.019271836571173623]
['CMG', 661.27002000000005, '2014-07-23', 7, 41.465719785269826, 675.14001499999995, '2014-08-01', 0.020952099113762789]
['ALXN', 173.08000200000001, '2014-07-23', 7, 11.662240801012766, 159.11999499999999, '2014-08-01', -0.080743048523884461]
['ISRG', 461.63000499999998, '2014-07-23', 7, 30.768534076127821, 453.17001299999998, '2014-08-01', -0.018358841297588531]
['PCLN', 1236.7299800000001, '2014-07-24', 7, 6.7915766869179315, 1299.920044, '2014-08-04', 0.051082342161706054]
['BIIB', 336.790009, '2014-07-24', 7, 10.156067365341523, 326.54998799999998, '2014-08-04', -0.030449302906726112]
['UA', 69.550003000000004, '2014-07-24', 7, 4.3124126479711702, 68.279999000000004, '2014-08-04', -0.018475973322387922]
['ISRG', 473.32998700000002, '2014-07-24', 7, 90.63677484149477, 455.01998900000001, '2014-08-04', -0.038715058211598173]
['CAM', 74.150002000000001, '2014-07-25', 7, 4.2554956249988223, 71.010002, '2014-08-05', -0.042548886242781227]
['PVH', 113.198363, '2014-07-25', 7, 4.6013934048837477, 109.133808, '2014-08-05', -0.036038992896036827]
['BIIB', 335.45001200000002, '2014-07-25', 7, 26.52321754616829, 325.23001099999999, '2014-08-05', -0.030511255429616812]
['FLS', 76.997324000000006, '2014-07-25', 7, 4.8802260277104974, 71.530000999999999, '2014-08-05', -0.071201474482411972]
['UA', 69.110000999999997, '2014-07-25', 7, 11.310721266248962, 68.349997999999999, '2014-08-05', -0.011214049902849771]
['SWK', 88.722431999999998, '2014-07-28', 7, 4.7820567942348662, 84.807919999999996, '2014-08-06', -0.044289949130339464]
['VRSN', 53.970001000000003, '2014-07-28', 7, 7.4863317836810683, 54.810001, '2014-08-06', 0.015286269866846884]
['REGN', 316.22000100000002, '2014-07-31', 7, 9.8622897930610165, 338.80999800000001, '2014-08-11', 0.071390161686831377]
['GWW', 233.20025799999999, '2014-08-11', 7, 4.9788374079410787, 240.65921800000001, '2014-08-20', 0.031920890928002404]
['RL', 160.76026999999999, '2014-08-12', 7, 5.3113717560366336, 167.169749, '2014-08-21', 0.039776488307714374]
['BLK', 307.51651900000002, '2014-08-14', 7, 5.9450044030070224, 325.339023, '2014-08-25', 0.057907471305630835]
['AMZN', 333.209991, '2014-08-14', 7, 5.693326513330156, 334.01998900000001, '2014-08-25', 0.0023858768388490708]
['ALXN', 168.89999399999999, '2014-08-14', 7, 5.755709371446307, 170.55999800000001, '2014-08-25', 0.0097395148516110381]
['AMZN', 333.63000499999998, '2014-08-15', 7, 17.331428137654271, 341.82998700000002, '2014-08-26', 0.024533111163068305]
['BIIB', 342.47000100000002, '2014-08-15', 7, 6.2235987406943742, 342.98998999999998, '2014-08-26', 0.0014745495912792451]
['AGN', 218.070007, '2014-08-18', 7, 6.2151213316677438, 226.30999800000001, '2014-08-27', 0.037717204273763343]
['GOOGL', 597.10998500000005, '2014-08-19', 7, 11.868455566093905, 580.32000700000003, '2014-08-28', -0.028143856947895483]
['GOOG', 586.86264300000005, '2014-08-19', 7, 8.4393917493050026, 569.20257700000002, '2014-08-28', -0.030117892509985558]
['LLL', 105.48462000000001, '2014-08-19', 7, 6.1254378958776137, 107.217404, '2014-08-28', 0.016284686810266704]
['ADS', 265.290009, '2014-08-19', 7, 6.2073064961389548, 264.70001200000002, '2014-08-28', -0.002280511815279039]
['PRGO', 149.00737799999999, '2014-08-20', 7, 4.3519942630736717, 148.42455899999999, '2014-08-29', -0.0040120093919107864]
['PXD', 211.25504699999999, '2014-08-26', 7, 7.785832862758383, 202.019193, '2014-09-05', -0.043789978660249432]
['GOOGL', 597.78002900000001, '2014-09-05', 7, 7.9124134950248681, 588.78002900000001, '2014-09-16', -0.015080798224525497]
['GOOG', 586.082672, '2014-09-05', 7, 6.5217691440765417, 579.95263999999997, '2014-09-16', -0.010484923533108701]
['ICE', 188.025813, '2014-09-11', 7, 4.4270841299839674, 198.99868499999999, '2014-09-22', 0.058278551360392172]
['PXD', 202.15912900000001, '2014-09-12', 7, 4.0214841273921138, 197.27132700000001, '2014-09-23', -0.024252191945286789]
['TAP', 75.340320000000006, '2014-09-17', 7, 5.7254273548676871, 72.473472999999998, '2014-09-26', -0.038251058662878083]
['DD', 65.843067000000005, '2014-09-18', 7, 4.723951500277014, 66.629118000000005, '2014-09-29', 0.011710435663636392]
['GOOG', 589.272695, '2014-09-18', 7, 4.2685308278084939, 576.36259399999994, '2014-09-29', -0.021933989322210246]
['VRTX', 103.75, '2014-09-19', 7, 7.297932970632254, 112.30999799999999, '2014-09-30', 0.08236142650602403]
['GOOGL', 605.40002400000003, '2014-09-19', 7, 8.4354583972140329, 588.40997300000004, '2014-09-30', -0.028088949993170124]
['WYNN', 179.226146, '2014-09-19', 7, 4.5522072210156281, 180.96733599999999, '2014-09-30', 0.0096313514435555012]
['APD', 131.28398999999999, '2014-09-22', 7, 4.1910342092349975, 124.442742, '2014-10-01', -0.052224555332299034]
['SIAL', 135.71914899999999, '2014-09-22', 7, 16.154568036166104, 135.19179600000001, '2014-10-01', -0.0039961420624585317]
['SIAL', 135.09230400000001, '2014-09-23', 7, 41.867532108255126, 134.77389400000001, '2014-10-02', -0.0024680162387340737]
['BIIB', 346.29998799999998, '2014-09-24', 7, 7.0053163304070356, 327.08999599999999, '2014-10-03', -0.055515427854996059]
['BIIB', 333.39999399999999, '2014-09-25', 7, 12.984485490019271, 325.07000699999998, '2014-10-06', -0.025029955459447362]
['PCLN', 1174.4399410000001, '2014-09-26', 7, 6.0953914734738248, 1109.150024, '2014-10-07', -0.055605156739130399]
['PCLN', 1161.0500489999999, '2014-09-29', 7, 10.708546803602871, 1126.920044, '2014-10-08', -0.029408727926422046]
['NKE', 88.366245000000006, '2014-09-29', 7, 6.9919874855273845, 88.078697000000005, '2014-10-08', -0.0034237960433873933]
['LLL', 112.807361, '2014-10-01', 7, 4.1388681290179843, 112.729041, '2014-10-10', -0.00082725098054554306]
['CMG', 674.5, '2014-10-03', 7, 7.1281341321337699, 651.169983, '2014-10-14', -0.034610848035581912]
['MYL', 50.979999999999997, '2014-10-06', 7, 5.0854476268568636, 47.380001, '2014-10-15', -0.070910141231855572]
['ISRG', 486.54998799999998, '2014-10-06', 7, 8.3694655941947254, 460.14001500000001, '2014-10-15', -0.054310910804091894]
['BCR', 147.13178300000001, '2014-10-07', 7, 5.3939323177678045, 144.213246, '2014-10-16', -0.019938159792435975]
['ISRG', 482.26001000000002, '2014-10-07', 7, 20.155806132648362, 456.51001000000002, '2014-10-16', -0.053425536983669863]
['GMCR', 142.390255, '2014-10-08', 7, 7.7560797143765381, 136.56890100000001, '2014-10-17', -0.040988437024710611]
['AZO', 517.79998799999998, '2014-10-08', 7, 4.4552876188489421, 507.58999599999999, '2014-10-17', -0.019746991573897064]
['ESS', 178.109936, '2014-10-09', 7, 5.0047829680860616, 186.05644599999999, '2014-10-20', 0.044531541463245429]
['ICE', 201.81378100000001, '2014-10-10', 7, 4.345340289888707, 197.74974499999999, '2014-10-21', -0.020211880376989792]
['DE', 83.255320999999995, '2014-10-15', 7, 4.2378259265263143, 83.745462000000003, '2014-10-24', 0.0057070346290540204]
['ADS', 252.14999399999999, '2014-10-16', 7, 4.4944056673319608, 273.05999800000001, '2014-10-27', 0.082867358703962585]
['WHR', 148.163476, '2014-10-17', 7, 4.3019581660364832, 165.95810800000001, '2014-10-28', 0.12000010042960929]
['WYNN', 176.48861199999999, '2014-10-17', 7, 4.1151750565702869, 179.19712799999999, '2014-10-28', 0.015261698584835622]
['RRC', 67.160338999999993, '2014-10-17', 7, 7.0380402837613261, 67.230172999999994, '2014-10-28', 0.00081646401457265096]
['ADS', 259.72000100000002, '2014-10-17', 7, 17.754499758284801, 280.48001099999999, '2014-10-28', 0.079874518404918549]
['SNA', 123.00735, '2014-10-20', 7, 7.5784177171991072, 128.01231100000001, '2014-10-29', 0.040566364530249685]
['PCLN', 1103.0699460000001, '2014-10-20', 7, 5.0835816232701063, 1144.219971, '2014-10-29', 0.037291402190011175]
['APD', 127.876525, '2014-10-20', 7, 4.3318129441416016, 126.77457, '2014-10-29', -0.0087346367912328211]
['REGN', 366.13000499999998, '2014-10-20', 7, 4.628428372806761, 407.16000400000001, '2014-10-27', 0.11202304766035232]
['AZO', 517.03002900000001, '2014-10-20', 7, 7.6760706563825849, 550.03997800000002, '2014-10-29', 0.063816310754360464]
['EOG', 95.481712999999999, '2014-10-21', 7, 5.7623888175921039, 91.693467999999996, '2014-10-30', -0.039832182315371778]
['MJN', 99.119923999999997, '2014-10-21', 7, 4.0269401584731908, 102.29026, '2014-10-30', 0.031833519162101115]
['PCLN', 1132.969971, '2014-10-21', 7, 45.121533269015515, 1146.589966, '2014-10-30', 0.01200825736624931]
['SHW', 224.83591300000001, '2014-10-21', 7, 11.396705709959623, 223.042934, '2014-10-30', -0.0080413265651204154]
['EQIX', 196.55523199999999, '2014-10-21', 7, 7.5253386177030244, 204.58476899999999, '2014-10-30', 0.040774986849497881]
['PCP', 230.84598700000001, '2014-10-21', 7, 4.5862375300489688, 221.21990199999999, '2014-10-30', -0.041764143814204652]
['HAR', 95.495897999999997, '2014-10-21', 7, 4.8123879834791055, 107.62566099999999, '2014-10-30', 0.12686160613935477]
['TSO', 66.158649999999994, '2014-10-21', 7, 6.1841480848766448, 67.194686000000004, '2014-10-30', 0.015433144418757186]
['PX', 125.484751, '2014-10-21', 7, 4.0947190397222606, 120.664844, '2014-10-30', -0.038529836983937596]
['WAT', 107.16999800000001, '2014-10-21', 7, 6.4670758348454811, 110.599998, '2014-10-30', 0.031865261395264674]
['PPG', 96.778616999999997, '2014-10-21', 7, 5.562498423343655, 94.956988999999993, '2014-10-30', -0.018977621885214624]
['URI', 108.650002, '2014-10-21', 7, 9.9768918797466455, 106.120003, '2014-10-30', -0.023423828376919899]
['ARG', 112.10699700000001, '2014-10-21', 7, 4.9501274489717151, 107.538034, '2014-10-30', -0.040889178398026395]
['REGN', 381.01001000000002, '2014-10-21', 7, 23.280842660763746, 392.79998799999998, '2014-10-30', 0.030904642111633657]
['HP', 86.983575999999999, '2014-10-21', 7, 4.1729496591103157, 81.586783999999994, '2014-10-30', -0.06221625103111425]
['DAL', 37.140079, '2014-10-21', 7, 4.0611261546247786, 38.785024, '2014-10-30', 0.043886417150593569]
['PXD', 185.89465100000001, '2014-10-21', 7, 6.7941539049535677, 185.31479100000001, '2014-10-30', -0.0031999844901400443]
['ISRG', 495.76998900000001, '2014-10-21', 7, 11.437927094640923, 490.0, '2014-10-30', -0.011668695419964214]
['MAR', 67.633751000000004, '2014-10-22', 7, 4.9149756696997571, 75.126648000000003, '2014-10-30', 0.11056457596148998]
['NOV', 69.627483999999995, '2014-10-22', 7, 4.3282930694881401, 70.797036000000006, '2014-10-31', 0.016581842882618165]
['AMGN', 140.98560900000001, '2014-10-22', 7, 5.7958938259034039, 155.94398699999999, '2014-10-29', 0.1059922222274472]
['MMM', 136.49076199999999, '2014-10-22', 7, 5.0979762952948171, 151.048474, '2014-10-31', 0.10654722551845677]
['TRIP', 85.919998000000007, '2014-10-22', 7, 6.7487182189483299, 88.660004000000001, '2014-10-31', 0.031715619918892379]
['BIIB', 309.07000699999998, '2014-10-22', 7, 4.502614779069944, 321.07998700000002, '2014-10-31', 0.038809912732813451]
['MLM', 118.28117, '2014-10-22', 7, 9.5623310957227119, 115.92149000000001, '2014-10-31', -0.020076568400532371]
['ALXN', 173.270004, '2014-10-22', 7, 5.4478900129571821, 192.199997, '2014-10-28', 0.10916484425082598]
['SLB', 94.465581, '2014-10-22', 7, 6.5757901809623469, 97.093183999999994, '2014-10-31', 0.027656665764856654]
['MHK', 133.479996, '2014-10-22', 7, 8.697304329935946, 142.03999300000001, '2014-10-31', 0.064017060653792715]
['KMB', 105.505589, '2014-10-22', 7, 5.3918429741706353, 107.022842, '2014-10-31', 0.014238610619954899]
['HON', 89.345547999999994, '2014-10-22', 7, 5.69630212255049, 94.206823, '2014-10-31', 0.054241930442913699]
['ISRG', 481.80999800000001, '2014-10-22', 7, 22.833179762321507, 495.79998799999998, '2014-10-31', 0.02900518888775732]
['BLK', 316.53961800000002, '2014-10-23', 7, 5.2971915568723382, 332.97200400000003, '2014-11-03', 0.051865185482090292]
['AMZN', 313.17999300000002, '2014-10-23', 7, 6.959719035697816, 305.72000100000002, '2014-11-03', -0.023868038083773756]
['AVGO', 80.620918000000003, '2014-10-23', 7, 4.9784846787422552, 85.534651999999994, '2014-11-03', 0.060762567848706352]
['ECL', 111.568822, '2014-10-23', 7, 4.0659173866942862, 109.13048499999999, '2014-11-03', -0.02198944970486472]
['MCK', 198.11338499999999, '2014-10-23', 7, 6.1589765368248468, 202.73852199999999, '2014-11-03', 0.023270194489887677]
['PSX', 74.077729000000005, '2014-10-23', 7, 4.5672959613269306, 74.622702000000004, '2014-11-03', 0.0071542824969701591]
['FSLR', 56.439999, '2014-10-24', 7, 4.2008814692035514, 56.869999, '2014-11-04', 0.007352941306749486]
['SIG', 115.088139, '2014-10-24', 7, 5.7858456703111463, 119.035999, '2014-11-04', 0.034172591842848425]
['PRGO', 154.820953, '2014-10-24', 7, 6.4288046310581741, 159.510997, '2014-11-04', 0.03019645538546711]
['NOC', 128.952292, '2014-10-24', 7, 7.784474056014477, 136.62298999999999, '2014-11-04', 0.059368452326539395]
['PRU', 82.824887000000004, '2014-10-24', 7, 4.2185396367127943, 86.213087999999999, '2014-11-04', 0.040726901323753027]
['EW', 116.760002, '2014-10-24', 7, 6.122396285797187, 119.779999, '2014-11-04', 0.025736527479675819]
['HAL', 55.079079, '2014-10-24', 7, 5.2202354328462413, 50.536883000000003, '2014-11-04', -0.082739146745718042]
['FDX', 163.28384399999999, '2014-10-24', 7, 7.450157253636184, 166.35264100000001, '2014-11-04', 0.01870238307226536]
['ZBH', 104.68642800000001, '2014-10-24', 7, 6.7463858370707319, 108.583955, '2014-11-04', 0.037087204847604471]
['HES', 81.447811999999999, '2014-10-24', 7, 4.409979534422888, 80.547785000000005, '2014-11-04', -0.01123451910531365]
['WDC', 90.309736000000001, '2014-10-24', 7, 4.8558475014657176, 98.505384000000006, '2014-11-04', 0.090584341869851162]
['LYB', 90.949962999999997, '2014-10-24', 7, 4.7822727432299388, 82.759642999999997, '2014-11-04', -0.090217958637322376]
